index,Movie Name,Year,Actors,Directors,Writer,Rating
353,Nashville,01/07/75,"Keith Carradine, Karen Black, Ronee Blakley",Robert Altman,Joan Tewkesbury,7.7
354,For a Few Dollars More,10/05/67,"Clint Eastwood, Lee Van Cleef, Gian Maria Volontè",Sergio Leone,"Sergio Leone, Fulvio Morsella, Luciano Vincenzoni",8.3
355,American Psycho,14/04/00,"Christian Bale, Justin Theroux, Josh Lucas",Mary Harron,"Bret Easton Ellis, Mary Harron, Guinevere Turner",7.6
356,Ponyo,14/08/09,"Cate Blanchett, Matt Damon, Liam Neeson",Hayao Miyazaki,"Hayao Miyazaki, Melissa Mathison",7.6
357,About Time,08/11/13,"Domhnall Gleeson, Rachel McAdams, Bill Nighy",Richard Curtis,Richard Curtis,7.8
358,In America,06/02/04,"Paddy Considine, Samantha Morton, Djimon Hounsou",Jim Sheridan,"Jim Sheridan, Naomi Sheridan, Kirsten Sheridan",7.7
359,The French Connection,09/10/71,"Gene Hackman, Roy Scheider, Fernando Rey",William Friedkin,"Ernest Tidyman, Robin Moore",7.7
360,The Day of the Jackal,30/07/73,"Edward Fox, Terence Alexander, Michel Auclair",Fred Zinnemann,"Frederick Forsyth, Kenneth Ross",7.8
361,Cool Hand Luke,01/11/67,"Paul Newman, George Kennedy, Strother Martin",Stuart Rosenberg,"Donn Pearce, Frank Pierson, Hal Dresner",8.1
362,21 Grams,16/01/04,"Sean Penn, Benicio Del Toro, Naomi Watts",Alejandro G. Iñárritu,Guillermo Arriaga,7.7
363,Trainspotting,09/08/96,"Ewan McGregor, Ewen Bremner, Jonny Lee Miller",Danny Boyle,"Irvine Welsh, John Hodge",8.1
364,The Motorcycle Diaries,15/10/04,"Gael García Bernal, Rodrigo de la Serna, Mía Maestro",Walter Salles,"Ernesto Che Guevara, Alberto Granado, Jose Rivera",7.8
365,Rushmore,19/02/99,"Jason Schwartzman, Bill Murray, Olivia Williams",Wes Anderson,"Wes Anderson, Owen Wilson",7.7
366,Kung Fu Hustle,22/04/05,"Stephen Chow, Wah Yuen, Qiu Yuen",Stephen Chow,"Stephen Chow, Kan-Cheung Tsang, Xin Huo",7.7
367,Eastern Promises,21/09/07,"Naomi Watts, Viggo Mortensen, Armin Mueller-Stahl",David Cronenberg,Steven Knight,7.6
368,A Bronx Tale,01/10/93,"Robert De Niro, Chazz Palminteri, Lillo Brancato",Robert De Niro,Chazz Palminteri,7.8
369,The Big Lebowski,06/03/98,"Jeff Bridges, John Goodman, Julianne Moore","Joel Coen, Ethan Coen","Ethan Coen, Joel Coen",8.1
370,Wait Until Dark,21/12/67,"Audrey Hepburn, Alan Arkin, Richard Crenna",Terence Young,"Frederick Knott, Robert Carrington, Jane-Howard Hammerstein",7.7
371,Cat on a Hot Tin Roof,29/08/58,"Elizabeth Taylor, Paul Newman, Burl Ives",Richard Brooks,"Richard Brooks, James Poe, Tennessee Williams",8
372,The Last King of Scotland,19/01/07,"James McAvoy, Forest Whitaker, Gillian Anderson",Kevin Macdonald,"Peter Morgan, Jeremy Brock, Giles Foden",7.7
373,Nebraska,24/01/14,"Bruce Dern, Will Forte, June Squibb",Alexander Payne,Bob Nelson,7.7
374,The Perks of Being a Wallflower,12/10/12,"Logan Lerman, Emma Watson, Ezra Miller",Stephen Chbosky,Stephen Chbosky,8
375,Call Me by Your Name,19/01/18,"Armie Hammer, Timothée Chalamet, Michael Stuhlbarg",Luca Guadagnino,"James Ivory, André Aciman",7.9
376,Crimes and Misdemeanors,03/11/89,"Martin Landau, Woody Allen, Bill Bernstein",Woody Allen,Woody Allen,7.8
377,127 Hours,28/01/11,"James Franco, Amber Tamblyn, Kate Mara",Danny Boyle,"Danny Boyle, Simon Beaufoy, Aron Ralston",7.6
378,Into the Wild,19/10/07,"Emile Hirsch, Vince Vaughn, Catherine Keener",Sean Penn,"Sean Penn, Jon Krakauer",8.1
379,Frost/Nixon,23/01/09,"Frank Langella, Michael Sheen, Kevin Bacon",Ron Howard,Peter Morgan,7.7
380,The Apartment,29/06/60,"Jack Lemmon, Shirley MacLaine, Fred MacMurray",Billy Wilder,"Billy Wilder, I.A.L. Diamond",8.3
381,Léon: The Professional,18/11/94,"Jean Reno, Gary Oldman, Natalie Portman",Luc Besson,Luc Besson,8.6
382,La Dolce Vita,19/04/61,"Marcello Mastroianni, Anita Ekberg, Anouk Aimée",Federico Fellini,"Federico Fellini, Ennio Flaiano, Tullio Pinelli",8
383,Life of Brian,17/08/79,"Graham Chapman, John Cleese, Michael Palin",Terry Jones,"Graham Chapman, John Cleese, Terry Gilliam",8.1
384,Baahubali 2: The Conclusion,28/04/17,"Prabhas, Rana Daggubati, Anushka Shetty",S.S. Rajamouli,"Vijayendra Prasad, S.S. Rajamouli, C.H. Vijay Kumar",8.3
385,Gone Baby Gone,19/10/07,"Morgan Freeman, Ed Harris, Casey Affleck",Ben Affleck,"Ben Affleck, Aaron Stockard, Dennis Lehane",7.6
386,A Christmas Story,18/11/83,"Peter Billingsley, Melinda Dillon, Darren McGavin",Bob Clark,"Jean Shepherd, Leigh Brown, Bob Clark",7.9
387,Fantastic Mr. Fox,25/11/09,"George Clooney, Meryl Streep, Bill Murray",Wes Anderson,"Roald Dahl, Wes Anderson, Noah Baumbach",7.9
388,The Right Stuff,17/02/84,"Sam Shepard, Scott Glenn, Ed Harris",Philip Kaufman,"Philip Kaufman, Tom Wolfe",7.8
389,The Caine Mutiny,24/06/54,"Humphrey Bogart, José Ferrer, Van Johnson",Edward Dmytryk,"Stanley Roberts, Michael Blankfort, Herman Wouk",7.7
390,The Postman,25/12/97,"Kevin Costner, Will Patton, Larenz Tate",Kevin Costner,"David Brin, Eric Roth, Brian Helgeland",6.1
391,Billy Elliot,10/11/00,"Jamie Bell, Julie Walters, Jean Heywood",Stephen Daldry,Lee Hall,7.7
392,Empire of the Sun,25/12/87,"Christian Bale, John Malkovich, Miranda Richardson",Steven Spielberg,"Tom Stoppard, J.G. Ballard, Menno Meyjes",7.7
393,Pink Floyd: The Wall,17/09/82,"Bob Geldof, Christine Hargreaves, James Laurenson",Alan Parker,Roger Waters,8
394,Adaptation.,14/02/03,"Nicolas Cage, Meryl Streep, Chris Cooper",Spike Jonze,"Susan Orlean, Charlie Kaufman",7.7
395,The Lion in Winter,30/10/68,"Peter OToole, Katharine Hepburn, Anthony Hopkins",Anthony Harvey,James Goldman,7.9
396,Magnolia,07/01/00,"Tom Cruise, Jason Robards, Julianne Moore",Paul Thomas Anderson,Paul Thomas Anderson,8
397,Lucky Number Slevin,07/04/06,"Josh Hartnett, Ben Kingsley, Morgan Freeman",Paul McGuigan,Jason Smilovic,7.7
398,Being John Malkovich,03/12/99,"John Cusack, Cameron Diaz, Catherine Keener",Spike Jonze,Charlie Kaufman,7.8
399,The Remains of the Day,19/11/93,"Anthony Hopkins, Emma Thompson, John Haycraft",James Ivory,"Kazuo Ishiguro, Ruth Prawer Jhabvala",7.8
400,Match Point,20/01/06,"Scarlett Johansson, Jonathan Rhys Meyers, Emily Mortimer",Woody Allen,Woody Allen,7.6
401,The Iron Giant,06/08/99,"Eli Marienthal, Harry Connick Jr., Jennifer Aniston",Brad Bird,"Tim McCanlies, Brad Bird, Ted Hughes",8
402,The Usual Suspects,16/08/95,"Kevin Spacey, Gabriel Byrne, Chazz Palminteri",Bryan Singer,Christopher McQuarrie,8.5
403,Raging Bull,19/12/80,"Robert De Niro, Cathy Moriarty, Joe Pesci",Martin Scorsese,"Jake LaMotta, Joseph Carter, Peter Savage",8.2
404,Hotel Rwanda,04/02/05,"Don Cheadle, Sophie Okonedo, Joaquin Phoenix",Terry George,"Keir Pearson, Terry George",8.1
405,Hot Fuzz,20/04/07,"Simon Pegg, Nick Frost, Martin Freeman",Edgar Wright,"Edgar Wright, Simon Pegg",7.8
406,The Best Years of Our Lives,29/05/47,"Myrna Loy, Dana Andrews, Fredric March",William Wyler,"Robert E. Sherwood, MacKinlay Kantor",8.1
407,Lord of War,16/09/05,"Nicolas Cage, Ethan Hawke, Jared Leto",Andrew Niccol,Andrew Niccol,7.6
408,In the Heat of the Night,02/08/67,"Sidney Poitier, Rod Steiger, Warren Oates",Norman Jewison,"Stirling Silliphant, John Ball",8
409,Sling Blade,14/03/97,"Billy Bob Thornton, Dwight Yoakam, J.T. Walsh",Billy Bob Thornton,Billy Bob Thornton,8
410,Fargo,05/04/96,"William H. Macy, Frances McDormand, Steve Buscemi","Joel Coen, Ethan Coen","Ethan Coen, Joel Coen",8.1
411,Some Like It Hot,19/03/59,"Marilyn Monroe, Tony Curtis, Jack Lemmon",Billy Wilder,"Billy Wilder, I.A.L. Diamond, Robert Thoeren",8.2
412,Enter the Dragon,19/08/73,"Bruce Lee, John Saxon, Jim Kelly",Robert Clouse,"Michael Allin, Bruce Lee",7.6
413,In the Name of the Father,25/02/94,"Daniel Day-Lewis, Pete Postlethwaite, Alison Crosbie",Jim Sheridan,"Gerry Conlon, Terry George, Jim Sheridan",8.1
414,Boyhood,15/08/14,"Ellar Coltrane, Patricia Arquette, Ethan Hawke",Richard Linklater,Richard Linklater,7.9
415,Ex Machina,24/04/15,"Alicia Vikander, Domhnall Gleeson, Oscar Isaac",Alex Garland,Alex Garland,7.7
416,Serenity,30/09/05,"Nathan Fillion, Gina Torres, Chiwetel Ejiofor",Joss Whedon,Joss Whedon,7.8
417,Memento,25/05/01,"Guy Pearce, Carrie-Anne Moss, Joe Pantoliano",Christopher Nolan,"Christopher Nolan, Jonathan Nolan",8.5
418,Her,10/01/14,"Joaquin Phoenix, Amy Adams, Scarlett Johansson",Spike Jonze,Spike Jonze,8
419,Searching,31/08/18,"John Cho, Debra Messing, Joseph Lee",Aneesh Chaganty,"Aneesh Chaganty, Sev Ohanian",7.6
420,The Wrestler,30/01/09,"Mickey Rourke, Marisa Tomei, Evan Rachel Wood",Darren Aronofsky,Robert Siegel,7.9
421,Boogie Nights,31/10/97,"Mark Wahlberg, Julianne Moore, Burt Reynolds",Paul Thomas Anderson,Paul Thomas Anderson,7.9
422,Glory,16/02/90,"Matthew Broderick, Denzel Washington, Cary Elwes",Edward Zwick,"Kevin Jarre, Lincoln Kirstein, Peter Burchard",7.8
423,Hell or High Water,26/08/16,"Chris Pine, Ben Foster, Jeff Bridges",David Mackenzie,Taylor Sheridan,7.6
424,Rush,27/09/13,"Daniel Brühl, Chris Hemsworth, Olivia Wilde",Ron Howard,Peter Morgan,8.1
425,The Muppet Christmas Carol,11/12/92,"Michael Caine, Dave Goelz, Steve Whitmire",Brian Henson,"Charles Dickens, Jerry Juhl",7.7
426,Dallas Buyers Club,22/11/13,"Matthew McConaughey, Jennifer Garner, Jared Leto",Jean-Marc Vallée,"Craig Borten, Melisa Wallack",8
427,Do the Right Thing,21/07/89,"Danny Aiello, Ossie Davis, Ruby Dee",Spike Lee,Spike Lee,7.9
428,Taxi Driver,09/02/76,"Robert De Niro, Jodie Foster, Cybill Shepherd",Martin Scorsese,Paul Schrader,8.2
429,The Shawshank Redemption,14/10/94,"Tim Robbins, Morgan Freeman, Bob Gunton",Frank Darabont,"Stephen King, Frank Darabont",9.3
430,A Man for All Seasons,16/12/66,"Paul Scofield, Wendy Hiller, Robert Shaw",Fred Zinnemann,Robert Bolt,7.7
431,The Insider,05/11/99,"Russell Crowe, Al Pacino, Christopher Plummer",Michael Mann,"Marie Brenner, Eric Roth, Michael Mann",7.8
432,The Last Picture Show,22/10/71,"Timothy Bottoms, Jeff Bridges, Cybill Shepherd",Peter Bogdanovich,"Larry McMurtry, Peter Bogdanovich",8
433,Serpico,05/12/73,"Al Pacino, John Randolph, Jack Kehoe",Sidney Lumet,"Peter Maas, Waldo Salt, Norman Wexler",7.7
434,Spartacus,22/01/10,"Andy Whitfield, Lucy Lawless, Manu Bennett",N/A,Steven S. DeKnight,8.6
435,Being There,08/02/80,"Peter Sellers, Shirley MacLaine, Melvyn Douglas",Hal Ashby,"Jerzy Kosinski, Robert C. Jones",8
436,Snatch,19/01/01,"Jason Statham, Brad Pitt, Stephen Graham",Guy Ritchie,Guy Ritchie,8.3
437,From Here to Eternity,28/08/53,"Burt Lancaster, Montgomery Clift, Deborah Kerr",Fred Zinnemann,"Daniel Taradash, James Jones",7.6
438,Dragon Ball Super: Broly,16/01/19,"Masako Nozawa, Aya Hisakawa, Ryô Horikawa",Tatsuya Nagamine,Akira Toriyama,7.8
439,The Princess Bride,09/10/87,"Cary Elwes, Mandy Patinkin, Robin Wright",Rob Reiner,William Goldman,8
440,Paper Moon,09/05/73,"Ryan ONeal, Tatum ONeal, Madeline Kahn",Peter Bogdanovich,"Joe David Brown, Alvin Sargent",8.1
441,United 93,28/04/06,"David Alan Basche, Olivia Thirlby, Liza Colón-Zayas",Paul Greengrass,Paul Greengrass,7.6
442,The Outlaw Josey Wales,30/06/76,"Clint Eastwood, Sondra Locke, Chief Dan George",Clint Eastwood,"Forrest Carter, Philip Kaufman, Sonia Chernus",7.8
443,Psycho,08/09/60,"Anthony Perkins, Janet Leigh, Vera Miles",Alfred Hitchcock,"Joseph Stefano, Robert Bloch",8.5
444,Isle of Dogs,13/04/18,"Bryan Cranston, Koyu Rankin, Edward Norton",Wes Anderson,"Wes Anderson, Roman Coppola, Jason Schwartzman",7.8
445,Nightcrawler,31/10/14,"Jake Gyllenhaal, Rene Russo, Bill Paxton",Dan Gilroy,Dan Gilroy,7.8
446,500 Days of Summer,07/08/09,"Zooey Deschanel, Joseph Gordon-Levitt, Geoffrey Arend",Marc Webb,"Scott Neustadter, Michael H. Weber",7.7
447,The Sandlot,07/04/93,"Tom Guiry, Mike Vitar, Art LaFleur",David Mickey Evans,"David Mickey Evans, Robert Gunter",7.8
448,October Sky,19/02/99,"Jake Gyllenhaal, Chris Cooper, Laura Dern",Joe Johnston,"Homer H. Hickam Jr., Lewis Colick",7.8
449,Almost Famous,22/09/00,"Billy Crudup, Patrick Fugit, Kate Hudson",Cameron Crowe,Cameron Crowe,7.9
450,The Pianist,28/03/03,"Adrien Brody, Thomas Kretschmann, Frank Finlay",Roman Polanski,"Ronald Harwood, Wladyslaw Szpilman",8.6
451,Blade Runner,25/06/82,"Harrison Ford, Rutger Hauer, Sean Young",Ridley Scott,"Hampton Fancher, David Webb Peoples, Philip K. Dick",8.1
452,Zodiac,02/03/07,"Jake Gyllenhaal, Robert Downey Jr., Mark Ruffalo",David Fincher,"James Vanderbilt, Robert Graysmith",7.7
453,Amélie,08/02/02,"Audrey Tautou, Mathieu Kassovitz, Rufus",Jean-Pierre Jeunet,"Guillaume Laurant, Jean-Pierre Jeunet",8.3
454,Planet of the Apes,27/07/01,"Mark Wahlberg, Helena Bonham Carter, Tim Roth",Tim Burton,"Pierre Boulle, William Broyles Jr., Lawrence Konner",5.7
455,Wind River,18/08/17,"Elizabeth Olsen, Jeremy Renner, Graham Greene",Taylor Sheridan,Taylor Sheridan,7.7
456,The Reader,30/01/09,"Kate Winslet, Ralph Fiennes, Bruno Ganz",Stephen Daldry,"David Hare, Bernhard Schlink",7.6
457,Eternal Sunshine of the Spotless Mind,19/03/04,"Jim Carrey, Kate Winslet, Tom Wilkinson",Michel Gondry,"Charlie Kaufman, Michel Gondry, Pierre Bismuth",8.3
458,Mississippi Burning,27/01/89,"Gene Hackman, Willem Dafoe, Frances McDormand",Alan Parker,Chris Gerolmo,7.8
459,The Killing Fields,01/02/85,"Sam Waterston, Haing S. Ngor, John Malkovich",Roland Joffé,Bruce Robinson,7.8
460,50/50,30/09/11,"Joseph Gordon-Levitt, Seth Rogen, Anna Kendrick",Jonathan Levine,Will Reiser,7.6
461,Drive,16/09/11,"Ryan Gosling, Carey Mulligan, Bryan Cranston",Nicolas Winding Refn,"Hossein Amini, James Sallis",7.8
462,Children of Men,05/01/07,"Julianne Moore, Clive Owen, Chiwetel Ejiofor",Alfonso Cuarón,"Alfonso Cuarón, Timothy J. Sexton, David Arata",7.9
463,Changeling,31/10/08,"Angelina Jolie, Colm Feore, Amy Ryan",Clint Eastwood,J. Michael Straczynski,7.8
464,Shine,14/02/97,"Geoffrey Rush, Armin Mueller-Stahl, Justin Braine",Scott Hicks,"Jan Sardi, Scott Hicks",7.7
465,The Theory of Everything,26/11/14,"Eddie Redmayne, Felicity Jones, Tom Prior",James Marsh,"Anthony McCarten, Jane Hawking",7.7
466,Dirty Harry,23/12/71,"Clint Eastwood, Andrew Robinson, Harry Guardino","Don Siegel, Clint Eastwood","Harry Julian Fink, Rita M. Fink, Dean Riesner",7.7
467,The Thin Red Line,15/01/99,"Jim Caviezel, Sean Penn, Nick Nolte",Terrence Malick,"James Jones, Terrence Malick",7.6
468,Rear Window,01/09/54,"James Stewart, Grace Kelly, Wendell Corey",Alfred Hitchcock,"John Michael Hayes, Cornell Woolrich",8.5
469,Carlitos Way,12/11/93,"Al Pacino, Sean Penn, Penelope Ann Miller",Brian De Palma,"Edwin Torres, David Koepp",7.9
470,Fight Club,15/10/99,"Brad Pitt, Edward Norton, Meat Loaf",David Fincher,"Chuck Palahniuk, Jim Uhls",8.8
471,Pans Labyrinth,19/01/07,"Ivana Baquero, Ariadna Gil, Sergi López",Guillermo del Toro,Guillermo del Toro,8.2
472,Philomena,27/11/13,"Judi Dench, Steve Coogan, Sophie Kennedy Clark",Stephen Frears,"Steve Coogan, Jeff Pope, Martin Sixsmith",7.6
473,All That Jazz,20/12/79,"Roy Scheider, Jessica Lange, Ann Reinking",Bob Fosse,"Robert Alan Aurthur, Bob Fosse",7.8
474,The Terminator,26/10/84,"Arnold Schwarzenegger, Linda Hamilton, Michael Biehn",James Cameron,"James Cameron, Gale Anne Hurd, William Wisher",8.1
475,Pride,12/09/14,"Bill Nighy, Imelda Staunton, Dominic West",Matthew Warchus,Stephen Beresford,7.8
476,Stardust,10/08/07,"Charlie Cox, Claire Danes, Sienna Miller",Matthew Vaughn,"Jane Goldman, Matthew Vaughn, Neil Gaiman",7.6
477,The Longest Day,04/10/62,"John Wayne, Robert Ryan, Richard Burton","Ken Annakin, Andrew Marton, Gerd Oswald","Cornelius Ryan, Romain Gary, James Jones",7.8
478,Annie Hall,20/04/77,"Woody Allen, Diane Keaton, Tony Roberts",Woody Allen,"Woody Allen, Marshall Brickman",8
479,The Illusionist,01/09/06,"Edward Norton, Jessica Biel, Paul Giamatti",Neil Burger,"Neil Burger, Steven Millhauser",7.6
480,Hannah and Her Sisters,14/03/86,"Mia Farrow, Dianne Wiest, Michael Caine",Woody Allen,Woody Allen,7.9
481,There Will Be Blood,25/01/08,"Daniel Day-Lewis, Paul Dano, Ciarán Hinds",Paul Thomas Anderson,"Paul Thomas Anderson, Upton Sinclair",8.2
482,I Am Sam,25/01/02,"Sean Penn, Michelle Pfeiffer, Dakota Fanning",Jessie Nelson,"Kristine Johnson, Jessie Nelson",7.6
483,Paddington 2,12/01/18,"Ben Whishaw, Hugh Grant, Hugh Bonneville",Paul King,"Paul King, Simon Farnaby, Michael Bond",7.8
